"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";3
"AC";"Caçador de Subsistência";"RENOVAÇÕES";3
"AC";"Caçador de Subsistência";"TRANSFERENCIAS";4
"AC";"Cidadão";"REGISTROS NOVOS";175
"AC";"Cidadão";"RENOVAÇÕES";16
"AC";"Cidadão";"TRANSFERENCIAS";12
"AC";"Empresa de Segurança Privada";"RENOVAÇÕES";14
"AC";"Empresa de Segurança Privada";"TRANSFERENCIAS";12
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";21
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";6
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AL";"Cidadão";"REGISTROS NOVOS";111
"AL";"Cidadão";"RENOVAÇÕES";13
"AL";"Cidadão";"TRANSFERENCIAS";21
"AL";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";3
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";54
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"AL";"Órgão público sem taxa";"REGISTROS NOVOS";15
"AM";"Cidadão";"REGISTROS NOVOS";60
"AM";"Cidadão";"RENOVAÇÕES";2
"AM";"Cidadão";"TRANSFERENCIAS";1
"AM";"Empresa de Segurança Privada";"TRANSFERENCIAS";168
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";15
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";2
"AP";"Cidadão";"REGISTROS NOVOS";26
"AP";"Cidadão";"RENOVAÇÕES";2
"AP";"Cidadão";"TRANSFERENCIAS";1
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";9
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"BA";"Cidadão";"REGISTROS NOVOS";420
"BA";"Cidadão";"RENOVAÇÕES";45
"BA";"Cidadão";"TRANSFERENCIAS";41
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";12
"BA";"Empresa de Segurança Privada";"TRANSFERENCIAS";11
"BA";"Outras Categorias";"REGISTROS NOVOS";3
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";55
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";26
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";11
"CE";"Caçador de Subsistência";"TRANSFERENCIAS";1
"CE";"Cidadão";"REGISTROS NOVOS";90
"CE";"Cidadão";"RENOVAÇÕES";17
"CE";"Cidadão";"TRANSFERENCIAS";8
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";5
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";32
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";79
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
