"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";7
"AC";"Caçador de Subsistência";"RENOVAÇÕES";9
"AC";"Caçador de Subsistência";"TRANSFERENCIAS";2
"AC";"Cidadão";"REGISTROS NOVOS";189
"AC";"Cidadão";"RENOVAÇÕES";15
"AC";"Cidadão";"TRANSFERENCIAS";17
"AC";"Empresa de Segurança Privada";"REGISTROS NOVOS";2
"AC";"Empresa de Segurança Privada";"TRANSFERENCIAS";60
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";15
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AL";"Caçador de Subsistência";"TRANSFERENCIAS";3
"AL";"Cidadão";"REGISTROS NOVOS";88
"AL";"Cidadão";"RENOVAÇÕES";9
"AL";"Cidadão";"TRANSFERENCIAS";38
"AL";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";6
"AL";"Empresa com Segurança Orgânica";"TRANSFERENCIAS";3
"AL";"Empresa de Segurança Privada";"TRANSFERENCIAS";2
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";39
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";17
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";7
"AL";"Órgão público com taxa";"RENOVAÇÕES";8
"AM";"Cidadão";"REGISTROS NOVOS";3
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";1
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"AP";"Cidadão";"REGISTROS NOVOS";33
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Cidadão";"TRANSFERENCIAS";4
"AP";"Empresa de Segurança Privada";"TRANSFERENCIAS";9
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";21
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"BA";"Cidadão";"REGISTROS NOVOS";346
"BA";"Cidadão";"RENOVAÇÕES";22
"BA";"Cidadão";"TRANSFERENCIAS";20
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";11
"BA";"Empresa de Segurança Privada";"TRANSFERENCIAS";84
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";68
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";18
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";10
"CE";"Cidadão";"REGISTROS NOVOS";86
"CE";"Cidadão";"RENOVAÇÕES";13
"CE";"Cidadão";"TRANSFERENCIAS";9
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";54
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";15
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";15
"DF";"Caçador de Subsistência";"REGISTROS NOVOS";1
