"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";4
"AC";"Caçador de Subsistência";"RENOVAÇÕES";7
"AC";"Cidadão";"REGISTROS NOVOS";27
"AC";"Cidadão";"RENOVAÇÕES";8
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";3
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"AL";"Cidadão";"REGISTROS NOVOS";35
"AL";"Cidadão";"RENOVAÇÕES";8
"AL";"Empresa de Segurança Privada";"REGISTROS NOVOS";16
"AL";"Empresa de Segurança Privada";"RENOVAÇÕES";5
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";49
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";8
"AL";"Órgão público sem taxa";"REGISTROS NOVOS";300
"AM";"Cidadão";"REGISTROS NOVOS";32
"AM";"Cidadão";"RENOVAÇÕES";8
"AM";"Empresa de Segurança Privada";"RENOVAÇÕES";29
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";10
"AP";"Cidadão";"REGISTROS NOVOS";5
"AP";"Cidadão";"RENOVAÇÕES";5
"AP";"Empresa de Segurança Privada";"REGISTROS NOVOS";3
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";18
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"BA";"Cidadão";"REGISTROS NOVOS";93
"BA";"Cidadão";"RENOVAÇÕES";24
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";7
"BA";"Empresa de Segurança Privada";"RENOVAÇÕES";10
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";63
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";34
"BA";"Órgão público com taxa";"REGISTROS NOVOS";26
"CE";"Cidadão";"REGISTROS NOVOS";32
"CE";"Cidadão";"RENOVAÇÕES";17
"CE";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";1
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";10
"CE";"Empresa de Segurança Privada";"RENOVAÇÕES";15
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";48
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";22
"DF";"Cidadão";"REGISTROS NOVOS";225
"DF";"Cidadão";"RENOVAÇÕES";73
"DF";"Cidadão";"TRANSFERENCIAS";1
"DF";"Empresa de Segurança Privada";"REGISTROS NOVOS";8
"DF";"Segurança de Dignitários";"REGISTROS NOVOS";1
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";53
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";31
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"DF";"Órgão público sem taxa";"REGISTROS NOVOS";2
"ES";"Caçador de Subsistência";"RENOVAÇÕES";1
"ES";"Cidadão";"REGISTROS NOVOS";668
"ES";"Cidadão";"RENOVAÇÕES";62
"ES";"Empresa de Segurança Privada";"REGISTROS NOVOS";4
"ES";"Empresa de Segurança Privada";"RENOVAÇÕES";41
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";21
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";10
"GO";"Cidadão";"REGISTROS NOVOS";77
"GO";"Cidadão";"RENOVAÇÕES";33
"GO";"Empresa com Segurança Orgânica";"RENOVAÇÕES";1
"GO";"Empresa de Segurança Privada";"REGISTROS NOVOS";10
"GO";"Empresa de Segurança Privada";"RENOVAÇÕES";37
"GO";"Revendedor";"REGISTROS NOVOS";1
"GO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";45
"GO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";26
"MA";"Cidadão";"REGISTROS NOVOS";56
"MA";"Cidadão";"RENOVAÇÕES";12
"MA";"Empresa de Segurança Privada";"RENOVAÇÕES";64
"MA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";21
"MA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"MG";"Cidadão";"REGISTROS NOVOS";361
"MG";"Cidadão";"RENOVAÇÕES";212
"MG";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";1
"MG";"Empresa de Segurança Privada";"RENOVAÇÕES";20
"MG";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";194
"MG";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";127
"MG";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"MG";"Órgão público sem taxa";"REGISTROS NOVOS";4
"MS";"Cidadão";"REGISTROS NOVOS";38
"MS";"Cidadão";"RENOVAÇÕES";19
"MS";"Empresa de Segurança Privada";"REGISTROS NOVOS";7
"MS";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";34
"MS";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"MT";"Cidadão";"REGISTROS NOVOS";78
"MT";"Cidadão";"RENOVAÇÕES";39
"MT";"Empresa de Segurança Privada";"RENOVAÇÕES";3
"MT";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";24
"MT";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"MT";"Órgão público sem taxa";"REGISTROS NOVOS";70
"PA";"Caçador de Subsistência";"REGISTROS NOVOS";44
"PA";"Caçador de Subsistência";"RENOVAÇÕES";6
"PA";"Cidadão";"REGISTROS NOVOS";102
"PA";"Cidadão";"RENOVAÇÕES";13
"PA";"Empresa de Segurança Privada";"REGISTROS NOVOS";10
"PA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";31
"PA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"PB";"Cidadão";"REGISTROS NOVOS";7
"PB";"Cidadão";"RENOVAÇÕES";1
"PB";"Empresa de Segurança Privada";"REGISTROS NOVOS";4
"PB";"Empresa de Segurança Privada";"RENOVAÇÕES";10
"PB";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";7
"PB";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"PE";"Cidadão";"REGISTROS NOVOS";85
"PE";"Cidadão";"RENOVAÇÕES";29
