"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";7
"AC";"Caçador de Subsistência";"RENOVAÇÕES";4
"AC";"Cidadão";"REGISTROS NOVOS";124
"AC";"Cidadão";"RENOVAÇÕES";8
"AC";"Cidadão";"TRANSFERENCIAS";15
"AC";"Empresa de Segurança Privada";"RENOVAÇÕES";2
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";7
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";6
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"AL";"Cidadão";"REGISTROS NOVOS";44
"AL";"Cidadão";"RENOVAÇÕES";13
"AL";"Cidadão";"TRANSFERENCIAS";11
"AL";"Empresa de Segurança Privada";"REGISTROS NOVOS";4
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";47
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";7
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"AM";"Caçador de Subsistência";"REGISTROS NOVOS";1
"AM";"Cidadão";"REGISTROS NOVOS";126
"AM";"Cidadão";"RENOVAÇÕES";6
"AM";"Cidadão";"TRANSFERENCIAS";1
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";23
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";2
"AP";"Caçador de Subsistência";"TRANSFERENCIAS";1
"AP";"Cidadão";"REGISTROS NOVOS";23
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Cidadão";"TRANSFERENCIAS";1
"AP";"Empresa de Segurança Privada";"REGISTROS NOVOS";5
"AP";"Outras Categorias";"REGISTROS NOVOS";25
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";29
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";2
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"BA";"Cidadão";"REGISTROS NOVOS";298
"BA";"Cidadão";"RENOVAÇÕES";11
"BA";"Cidadão";"TRANSFERENCIAS";22
"BA";"Empresa de Segurança Privada";"RENOVAÇÕES";34
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";53
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";17
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";7
"CE";"Cidadão";"REGISTROS NOVOS";38
"CE";"Cidadão";"RENOVAÇÕES";16
"CE";"Cidadão";"TRANSFERENCIAS";7
"CE";"Empresa de Segurança Privada";"RENOVAÇÕES";1
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";30
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";9
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";21
"DF";"Caçador de Subsistência";"TRANSFERENCIAS";1
"DF";"Cidadão";"REGISTROS NOVOS";323
"DF";"Cidadão";"RENOVAÇÕES";56
"DF";"Cidadão";"TRANSFERENCIAS";42
"DF";"Empresa de Segurança Privada";"REGISTROS NOVOS";7
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";52
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";32
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";16
"ES";"Cidadão";"REGISTROS NOVOS";518
"ES";"Cidadão";"RENOVAÇÕES";28
"ES";"Cidadão";"TRANSFERENCIAS";26
"ES";"Empresa de Segurança Privada";"RENOVAÇÕES";1
"ES";"Empresa de Segurança Privada";"TRANSFERENCIAS";12
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";14
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";6
"ES";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";8
"GO";"Caçador de Subsistência";"REGISTROS NOVOS";1
"GO";"Cidadão";"REGISTROS NOVOS";263
"GO";"Cidadão";"RENOVAÇÕES";33
"GO";"Cidadão";"TRANSFERENCIAS";11
"GO";"Empresa de Segurança Privada";"REGISTROS NOVOS";2
"GO";"Empresa de Segurança Privada";"TRANSFERENCIAS";74
"GO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";39
"GO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";8
"GO";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"GO";"Órgão público sem taxa";"REGISTROS NOVOS";30
"MA";"Cidadão";"REGISTROS NOVOS";266
"MA";"Cidadão";"RENOVAÇÕES";14
"MA";"Cidadão";"TRANSFERENCIAS";7
"MA";"Empresa de Segurança Privada";"TRANSFERENCIAS";9
"MA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";24
"MA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"MG";"Caçador de Subsistência";"TRANSFERENCIAS";2
"MG";"Cidadão";"REGISTROS NOVOS";1033
"MG";"Cidadão";"RENOVAÇÕES";121
"MG";"Cidadão";"TRANSFERENCIAS";81
"MG";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";5
"MG";"Empresa de Segurança Privada";"REGISTROS NOVOS";20
"MG";"Empresa de Segurança Privada";"RENOVAÇÕES";1
"MG";"Empresa de Segurança Privada";"TRANSFERENCIAS";5
"MG";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";105
"MG";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";17
"MG";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";34
"MG";"Órgão público sem taxa";"TRANSFERENCIAS";20
"MS";"Cidadão";"REGISTROS NOVOS";177
"MS";"Cidadão";"RENOVAÇÕES";15
"MS";"Cidadão";"TRANSFERENCIAS";5
"MS";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";26
"MS";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";9
"MS";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"MT";"Caçador de Subsistência";"REGISTROS NOVOS";2
"MT";"Caçador de Subsistência";"TRANSFERENCIAS";1
"MT";"Cidadão";"REGISTROS NOVOS";861
"MT";"Cidadão";"RENOVAÇÕES";69
"MT";"Cidadão";"TRANSFERENCIAS";37
"MT";"Empresa de Segurança Privada";"REGISTROS NOVOS";4
"MT";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";19
"MT";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";3
"MT";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"PA";"Caçador de Subsistência";"REGISTROS NOVOS";14
"PA";"Caçador de Subsistência";"RENOVAÇÕES";1
"PA";"Caçador de Subsistência";"TRANSFERENCIAS";1
"PA";"Cidadão";"REGISTROS NOVOS";491
"PA";"Cidadão";"RENOVAÇÕES";18
"PA";"Cidadão";"TRANSFERENCIAS";21
"PA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";27
"PA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"PA";"Órgão público sem taxa";"REGISTROS NOVOS";439
"PB";"Cidadão";"REGISTROS NOVOS";106
"PB";"Cidadão";"RENOVAÇÕES";17
"PB";"Cidadão";"TRANSFERENCIAS";4
"PB";"Empresa de Segurança Privada";"REGISTROS NOVOS";5
"PB";"Empresa de Segurança Privada";"RENOVAÇÕES";7
"PB";"Empresa de Segurança Privada";"TRANSFERENCIAS";4
"PB";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";26
"PB";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"PB";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"PB";"Órgão público com taxa";"REGISTROS NOVOS";6
