"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";7
"AC";"Caçador de Subsistência";"RENOVAÇÕES";7
"AC";"Caçador de Subsistência";"TRANSFERENCIAS";2
"AC";"Cidadão";"REGISTROS NOVOS";189
"AC";"Cidadão";"RENOVAÇÕES";30
"AC";"Cidadão";"TRANSFERENCIAS";17
"AC";"Empresa de Segurança Privada";"TRANSFERENCIAS";12
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";31
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";3
"AC";"Órgão público sem taxa";"REGISTROS NOVOS";1
"AL";"Cidadão";"REGISTROS NOVOS";113
"AL";"Cidadão";"RENOVAÇÕES";10
"AL";"Cidadão";"TRANSFERENCIAS";17
"AL";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";1
"AL";"Empresa de Segurança Privada";"TRANSFERENCIAS";4
"AL";"Outras Categorias";"REGISTROS NOVOS";5
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";81
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";7
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"AM";"Cidadão";"REGISTROS NOVOS";39
"AM";"Cidadão";"RENOVAÇÕES";52
"AM";"Cidadão";"TRANSFERENCIAS";5
"AM";"Empresa de Segurança Privada";"TRANSFERENCIAS";12
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";14
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"AP";"Cidadão";"REGISTROS NOVOS";17
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Cidadão";"TRANSFERENCIAS";4
"AP";"Empresa de Segurança Privada";"REGISTROS NOVOS";11
"AP";"Empresa de Segurança Privada";"TRANSFERENCIAS";31
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";9
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"BA";"Cidadão";"REGISTROS NOVOS";406
"BA";"Cidadão";"RENOVAÇÕES";41
"BA";"Cidadão";"TRANSFERENCIAS";30
"BA";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";16
"BA";"Empresa com Segurança Orgânica";"RENOVAÇÕES";4
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";2
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";63
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";31
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";8
"CE";"Cidadão";"REGISTROS NOVOS";68
"CE";"Cidadão";"RENOVAÇÕES";13
"CE";"Cidadão";"TRANSFERENCIAS";7
"CE";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";1
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";13
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";56
