"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";2
"AC";"Caçador de Subsistência";"RENOVAÇÕES";2
"AC";"Cidadão";"REGISTROS NOVOS";20
"AC";"Cidadão";"RENOVAÇÕES";15
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";12
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";3
"AL";"Cidadão";"REGISTROS NOVOS";22
"AL";"Cidadão";"RENOVAÇÕES";22
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";25
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";24
"AL";"Órgão público com taxa";"REGISTROS NOVOS";50
"AL";"Órgão público sem taxa";"TRANSFERENCIAS";1
"AM";"Caçador de Subsistência";"REGISTROS NOVOS";1
"AM";"Cidadão";"REGISTROS NOVOS";32
"AM";"Cidadão";"RENOVAÇÕES";16
"AM";"Empresa de Segurança Privada";"REGISTROS NOVOS";10
"AM";"Empresa de Segurança Privada";"RENOVAÇÕES";15
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";13
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"AM";"Órgão público sem taxa";"REGISTROS NOVOS";665
"AP";"Cidadão";"REGISTROS NOVOS";9
"AP";"Cidadão";"RENOVAÇÕES";4
"AP";"Empresa de Segurança Privada";"REGISTROS NOVOS";3
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";14
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";3
"BA";"Cidadão";"REGISTROS NOVOS";54
"BA";"Cidadão";"RENOVAÇÕES";30
"BA";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";3
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";23
"BA";"Empresa de Segurança Privada";"RENOVAÇÕES";116
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";69
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";28
"CE";"Cidadão";"REGISTROS NOVOS";17
"CE";"Cidadão";"RENOVAÇÕES";23
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";22
"CE";"Empresa de Segurança Privada";"RENOVAÇÕES";10
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";43
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";23
"CE";"Órgão público sem taxa";"TRANSFERENCIAS";1
"DF";"Cidadão";"REGISTROS NOVOS";421
"DF";"Cidadão";"RENOVAÇÕES";104
"DF";"Empresa de Segurança Privada";"RENOVAÇÕES";5
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";51
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";56
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"DF";"Órgão público com taxa";"REGISTROS NOVOS";210
"DF";"Órgão público sem taxa";"TRANSFERENCIAS";7
"ES";"Caçador de Subsistência";"REGISTROS NOVOS";1
"ES";"Caçador de Subsistência";"RENOVAÇÕES";1
"ES";"Cidadão";"REGISTROS NOVOS";486
"ES";"Cidadão";"RENOVAÇÕES";40
"ES";"Empresa de Segurança Privada";"RENOVAÇÕES";167
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";17
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"GO";"Cidadão";"REGISTROS NOVOS";54
"GO";"Cidadão";"RENOVAÇÕES";68
"GO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";45
"GO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";23
"GO";"Órgão público sem taxa";"REGISTROS NOVOS";1947
"GO";"Órgão público sem taxa";"TRANSFERENCIAS";1
"MA";"Cidadão";"REGISTROS NOVOS";51
"MA";"Cidadão";"RENOVAÇÕES";17
"MA";"Empresa com Segurança Orgânica";"RENOVAÇÕES";11
"MA";"Empresa de Segurança Privada";"RENOVAÇÕES";20
"MA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";22
"MA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";3
"MG";"Cidadão";"REGISTROS NOVOS";190
"MG";"Cidadão";"RENOVAÇÕES";330
"MG";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";2
"MG";"Empresa com Segurança Orgânica";"RENOVAÇÕES";2
"MG";"Empresa de Segurança Privada";"RENOVAÇÕES";18
"MG";"Outras Categorias";"TRANSFERENCIAS";26
"MG";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";229
"MG";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";141
"MG";"Órgão público sem taxa";"REGISTROS NOVOS";506
"MG";"Órgão público sem taxa";"TRANSFERENCIAS";6
"MS";"Caçador de Subsistência";"RENOVAÇÕES";1
"MS";"Cidadão";"REGISTROS NOVOS";60
"MS";"Cidadão";"RENOVAÇÕES";32
"MS";"Empresa de Segurança Privada";"RENOVAÇÕES";23
