"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";8
"AC";"Caçador de Subsistência";"RENOVAÇÕES";4
"AC";"Caçador de Subsistência";"TRANSFERENCIAS";1
"AC";"Cidadão";"REGISTROS NOVOS";131
"AC";"Cidadão";"RENOVAÇÕES";15
"AC";"Cidadão";"TRANSFERENCIAS";17
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";10
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";3
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"AL";"Cidadão";"REGISTROS NOVOS";59
"AL";"Cidadão";"RENOVAÇÕES";16
"AL";"Cidadão";"TRANSFERENCIAS";12
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";13
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";12
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"AM";"Cidadão";"REGISTROS NOVOS";10
"AM";"Cidadão";"RENOVAÇÕES";5
"AM";"Cidadão";"TRANSFERENCIAS";2
"AM";"Empresa de Segurança Privada";"REGISTROS NOVOS";8
"AM";"Empresa de Segurança Privada";"TRANSFERENCIAS";26
"AM";"Órgão público com taxa";"RENOVAÇÕES";8
"AM";"Órgão público sem taxa";"REGISTROS NOVOS";250
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";9
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"AM";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AP";"Cidadão";"REGISTROS NOVOS";8
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Cidadão";"TRANSFERENCIAS";1
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";5
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"BA";"Cidadão";"REGISTROS NOVOS";354
"BA";"Cidadão";"RENOVAÇÕES";38
"BA";"Cidadão";"TRANSFERENCIAS";31
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";87
"BA";"Empresa de Segurança Privada";"RENOVAÇÕES";11
"BA";"Empresa de Segurança Privada";"TRANSFERENCIAS";95
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";61
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";12
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";9
"CE";"Cidadão";"REGISTROS NOVOS";101
"CE";"Cidadão";"RENOVAÇÕES";13
"CE";"Cidadão";"TRANSFERENCIAS";5
"CE";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";3
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";25
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";10
"CE";"Órgão público sem taxa";"REGISTROS NOVOS";2
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";45
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";7
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";9
"DF";"Cidadão";"REGISTROS NOVOS";240
"DF";"Cidadão";"RENOVAÇÕES";66
"DF";"Cidadão";"TRANSFERENCIAS";17
"DF";"Empresa de Segurança Privada";"REGISTROS NOVOS";10
"DF";"Órgão público sem taxa";"REGISTROS NOVOS";1080
"DF";"Órgão público sem taxa";"TRANSFERENCIAS";1
"DF";"Revendedor";"REGISTROS NOVOS";1
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";25
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";25
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";14
"ES";"Cidadão";"REGISTROS NOVOS";708
"ES";"Cidadão";"RENOVAÇÕES";90
"ES";"Cidadão";"TRANSFERENCIAS";58
"ES";"Empresa de Segurança Privada";"REGISTROS NOVOS";3
"ES";"Empresa de Segurança Privada";"TRANSFERENCIAS";12
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";19
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";10
"ES";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";7
"GO";"Cidadão";"REGISTROS NOVOS";312
"GO";"Cidadão";"RENOVAÇÕES";53
"GO";"Cidadão";"TRANSFERENCIAS";49
"GO";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";3
"GO";"Empresa de Segurança Privada";"REGISTROS NOVOS";35
"GO";"Empresa de Segurança Privada";"TRANSFERENCIAS";80
"GO";"Órgão público sem taxa";"REGISTROS NOVOS";37
"GO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";46
"GO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";18
"GO";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";13
"MA";"Cidadão";"REGISTROS NOVOS";290
"MA";"Cidadão";"RENOVAÇÕES";8
"MA";"Cidadão";"TRANSFERENCIAS";6
"MA";"Órgão público sem taxa";"REGISTROS NOVOS";55
"MA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";26
"MA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";6
"MA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"MG";"Cidadão";"REGISTROS NOVOS";1039
"MG";"Cidadão";"RENOVAÇÕES";151
"MG";"Cidadão";"TRANSFERENCIAS";85
"MG";"Empresa de Segurança Privada";"REGISTROS NOVOS";22
"MG";"Empresa de Segurança Privada";"RENOVAÇÕES";2
"MG";"Empresa de Segurança Privada";"TRANSFERENCIAS";15
"MG";"Órgão público sem taxa";"REGISTROS NOVOS";76
"MG";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";102
"MG";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";37
"MG";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";39
"MS";"Cidadão";"REGISTROS NOVOS";116
"MS";"Cidadão";"RENOVAÇÕES";17
"MS";"Cidadão";"TRANSFERENCIAS";19
"MS";"Empresa de Segurança Privada";"TRANSFERENCIAS";1
"MS";"Órgão público sem taxa";"REGISTROS NOVOS";18
"MS";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";22
"MS";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";2
"MS";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"MT";"Caçador de Subsistência";"REGISTROS NOVOS";2
