"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";16
"AC";"Caçador de Subsistência";"RENOVAÇÕES";17
"AC";"Caçador de Subsistência";"TRANSFERENCIAS";1
"AC";"Cidadão";"REGISTROS NOVOS";217
"AC";"Cidadão";"RENOVAÇÕES";7
"AC";"Cidadão";"TRANSFERENCIAS";8
"AC";"Empresa de Segurança Privada";"RENOVAÇÕES";2
"AC";"Empresa de Segurança Privada";"TRANSFERENCIAS";5
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";13
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AL";"Cidadão";"REGISTROS NOVOS";63
"AL";"Cidadão";"RENOVAÇÕES";8
"AL";"Cidadão";"TRANSFERENCIAS";18
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";36
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";15
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";10
"AL";"Órgão público sem taxa";"REGISTROS NOVOS";35
"AM";"Cidadão";"REGISTROS NOVOS";54
"AM";"Empresa de Segurança Privada";"REGISTROS NOVOS";8
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";13
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";1
"AM";"Órgão público sem taxa";"TRANSFERENCIAS";2
"AP";"Cidadão";"REGISTROS NOVOS";26
"AP";"Cidadão";"RENOVAÇÕES";3
"AP";"Cidadão";"TRANSFERENCIAS";2
"AP";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";5
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";16
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AP";"Órgão público sem taxa";"REGISTROS NOVOS";54
"BA";"Cidadão";"REGISTROS NOVOS";401
"BA";"Cidadão";"RENOVAÇÕES";23
"BA";"Cidadão";"TRANSFERENCIAS";16
"BA";"Empresa de Segurança Privada";"REGISTROS NOVOS";1
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";53
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";17
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"CE";"Cidadão";"REGISTROS NOVOS";58
"CE";"Cidadão";"RENOVAÇÕES";15
"CE";"Cidadão";"TRANSFERENCIAS";7
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";4
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";51
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";6
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";11
"DF";"Caçador de Subsistência";"REGISTROS NOVOS";3
"DF";"Caçador de Subsistência";"TRANSFERENCIAS";3
"DF";"Cidadão";"REGISTROS NOVOS";373
"DF";"Cidadão";"RENOVAÇÕES";51
"DF";"Cidadão";"TRANSFERENCIAS";22
"DF";"Empresa de Segurança Privada";"REGISTROS NOVOS";114
"DF";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";33
"DF";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";28
"DF";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"DF";"Órgão público sem taxa";"REGISTROS NOVOS";3011
"DF";"Órgão público sem taxa";"TRANSFERENCIAS";68
"ES";"Caçador de Subsistência";"TRANSFERENCIAS";1
"ES";"Cidadão";"REGISTROS NOVOS";845
"ES";"Cidadão";"RENOVAÇÕES";80
"ES";"Cidadão";"TRANSFERENCIAS";38
"ES";"Empresa de Segurança Privada";"TRANSFERENCIAS";21
"ES";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";28
"ES";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";14
"ES";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"GO";"Caçador de Subsistência";"REGISTROS NOVOS";1
"GO";"Caçador de Subsistência";"TRANSFERENCIAS";1
"GO";"Cidadão";"REGISTROS NOVOS";350
"GO";"Cidadão";"RENOVAÇÕES";65
"GO";"Cidadão";"TRANSFERENCIAS";34
"GO";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";3
"GO";"Empresa de Segurança Privada";"RENOVAÇÕES";18
