"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"AC";"Caçador de Subsistência";"REGISTROS NOVOS";1
"AC";"Caçador de Subsistência";"RENOVAÇÕES";9
"AC";"Caçador de Subsistência";"TRANSFERENCIAS";1
"AC";"Cidadão";"REGISTROS NOVOS";148
"AC";"Cidadão";"RENOVAÇÕES";17
"AC";"Cidadão";"TRANSFERENCIAS";14
"AC";"Empresa de Segurança Privada";"REGISTROS NOVOS";1
"AC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";9
"AC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"AC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";1
"AL";"Cidadão";"REGISTROS NOVOS";80
"AL";"Cidadão";"RENOVAÇÕES";15
"AL";"Cidadão";"TRANSFERENCIAS";18
"AL";"Empresa de Segurança Privada";"REGISTROS NOVOS";5
"AL";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";44
"AL";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";13
"AL";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"AM";"Cidadão";"REGISTROS NOVOS";10
"AM";"Cidadão";"RENOVAÇÕES";34
"AM";"Cidadão";"TRANSFERENCIAS";4
"AM";"Empresa de Segurança Privada";"TRANSFERENCIAS";8
"AM";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";4
"AM";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";5
"AM";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"AP";"Cidadão";"REGISTROS NOVOS";13
"AP";"Cidadão";"RENOVAÇÕES";1
"AP";"Cidadão";"TRANSFERENCIAS";2
"AP";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";9
"AP";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"AP";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";6
"AP";"Órgão público sem taxa";"REGISTROS NOVOS";48
"BA";"Cidadão";"REGISTROS NOVOS";398
"BA";"Cidadão";"RENOVAÇÕES";25
"BA";"Cidadão";"TRANSFERENCIAS";23
"BA";"Empresa com Segurança Orgânica";"REGISTROS NOVOS";10
"BA";"Empresa com Segurança Orgânica";"TRANSFERENCIAS";4
"BA";"Empresa de Segurança Privada";"TRANSFERENCIAS";11
"BA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";53
"BA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"BA";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"CE";"Cidadão";"REGISTROS NOVOS";61
"CE";"Cidadão";"RENOVAÇÕES";19
"CE";"Cidadão";"TRANSFERENCIAS";4
"CE";"Empresa de Segurança Privada";"REGISTROS NOVOS";7
"CE";"Empresa de Segurança Privada";"TRANSFERENCIAS";12
"CE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";34
"CE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";8
"CE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";11
