UF;CATEGORIA;TIPO_RELATORIO;TOTAL
MT;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;8
PA;Caçador de Subsistência;REGISTROS NOVOS;16
PA;Caçador de Subsistência;RENOVAÇÕES;1
PA;Caçador de Subsistência;TRANSFERENCIAS;1
PA;Cidadão;REGISTROS NOVOS;356
PA;Cidadão;RENOVAÇÕES;14
PA;Cidadão;TRANSFERENCIAS;6
PA;Empresa de Segurança Privada;REGISTROS NOVOS;14
PA;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;29
PA;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;1
PA;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;5
PB;Caçador de Subsistência;TRANSFERENCIAS;1
PB;Cidadão;REGISTROS NOVOS;128
PB;Cidadão;RENOVAÇÕES;10
PB;Cidadão;TRANSFERENCIAS;9
PB;Empresa de Segurança Privada;REGISTROS NOVOS;30
PB;Empresa de Segurança Privada;RENOVAÇÕES;3
PB;Órgão público com taxa;REGISTROS NOVOS;35
PB;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;16
PB;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;1
PB;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;8
PE;Caçador de Subsistência;TRANSFERENCIAS;1
PE;Cidadão;REGISTROS NOVOS;163
PE;Cidadão;RENOVAÇÕES;30
PE;Cidadão;TRANSFERENCIAS;31
PE;Empresa de Segurança Privada;TRANSFERENCIAS;163
PE;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;47
PE;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;8
PE;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;7
PI;Cidadão;REGISTROS NOVOS;95
PI;Cidadão;RENOVAÇÕES;12
PI;Cidadão;TRANSFERENCIAS;3
PI;Órgão público com taxa;REGISTROS NOVOS;6
PI;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;8
PI;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;5
PI;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;2
PR;Cidadão;REGISTROS NOVOS;604
PR;Cidadão;RENOVAÇÕES;122
PR;Cidadão;TRANSFERENCIAS;43
PR;Empresa de Segurança Privada;REGISTROS NOVOS;2
