"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"MG";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";84
"MG";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";47
"MG";"Órgão público sem taxa";"REGISTROS NOVOS";138
"MG";"Órgão público sem taxa";"TRANSFERENCIAS";1
"MS";"Cidadão";"REGISTROS NOVOS";147
"MS";"Cidadão";"RENOVAÇÕES";41
"MS";"Cidadão";"TRANSFERENCIAS";11
"MS";"Empresa de Segurança Privada";"TRANSFERENCIAS";17
"MS";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";51
"MS";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";12
"MS";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";8
"MS";"Órgão público sem taxa";"REGISTROS NOVOS";1
"MS";"Órgão público sem taxa";"TRANSFERENCIAS";16
"MT";"Caçador de Subsistência";"REGISTROS NOVOS";3
"MT";"Cidadão";"REGISTROS NOVOS";750
"MT";"Cidadão";"RENOVAÇÕES";104
"MT";"Cidadão";"TRANSFERENCIAS";14
"MT";"Empresa de Segurança Privada";"REGISTROS NOVOS";11
"MT";"Empresa de Segurança Privada";"TRANSFERENCIAS";48
"MT";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";31
"MT";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";16
"MT";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"MT";"Órgão público sem taxa";"TRANSFERENCIAS";6
"PA";"Caçador de Subsistência";"REGISTROS NOVOS";28
"PA";"Caçador de Subsistência";"RENOVAÇÕES";6
"PA";"Caçador de Subsistência";"TRANSFERENCIAS";3
"PA";"Cidadão";"REGISTROS NOVOS";329
"PA";"Cidadão";"RENOVAÇÕES";31
"PA";"Cidadão";"TRANSFERENCIAS";5
"PA";"Empresa de Segurança Privada";"REGISTROS NOVOS";6
"PA";"Empresa de Segurança Privada";"TRANSFERENCIAS";13
"PA";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";21
"PA";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";4
"PA";"Órgão público sem taxa";"TRANSFERENCIAS";2
"PB";"Cidadão";"REGISTROS NOVOS";54
"PB";"Cidadão";"RENOVAÇÕES";8
"PB";"Empresa de Segurança Privada";"REGISTROS NOVOS";8
"PB";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";4
"PB";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";2
"PB";"Órgão público sem taxa";"TRANSFERENCIAS";15
"PE";"Cidadão";"REGISTROS NOVOS";181
"PE";"Cidadão";"RENOVAÇÕES";36
"PE";"Cidadão";"TRANSFERENCIAS";8
"PE";"Empresa de Segurança Privada";"REGISTROS NOVOS";1
"PE";"Empresa de Segurança Privada";"TRANSFERENCIAS";54
"PE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";52
"PE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";6
"PE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";10
"PE";"Órgão público sem taxa";"TRANSFERENCIAS";2
"PI";"Cidadão";"REGISTROS NOVOS";86
"PI";"Cidadão";"RENOVAÇÕES";4
"PI";"Cidadão";"TRANSFERENCIAS";3
"PI";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";19
"PI";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";8
"PI";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";2
"PI";"Órgão público sem taxa";"REGISTROS NOVOS";11
"PR";"Cidadão";"REGISTROS NOVOS";579
"PR";"Cidadão";"RENOVAÇÕES";189
"PR";"Cidadão";"TRANSFERENCIAS";15
"PR";"Empresa de Segurança Privada";"REGISTROS NOVOS";4
"PR";"Empresa de Segurança Privada";"RENOVAÇÕES";1
"PR";"Empresa de Segurança Privada";"TRANSFERENCIAS";78
"PR";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";29
"PR";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";20
"PR";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";4
"PR";"Órgão público com taxa";"REGISTROS NOVOS";1
"PR";"Órgão público sem taxa";"REGISTROS NOVOS";275
"PR";"Órgão público sem taxa";"TRANSFERENCIAS";19
"RJ";"Caçador de Subsistência";"REGISTROS NOVOS";1
"RJ";"Cidadão";"REGISTROS NOVOS";623
"RJ";"Cidadão";"RENOVAÇÕES";88
"RJ";"Cidadão";"TRANSFERENCIAS";25
"RJ";"Empresa de Segurança Privada";"REGISTROS NOVOS";24
"RJ";"Empresa de Segurança Privada";"RENOVAÇÕES";1
"RJ";"Empresa de Segurança Privada";"TRANSFERENCIAS";39
"RJ";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";60
"RJ";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";26
"RJ";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";8
"RN";"Cidadão";"REGISTROS NOVOS";92
"RN";"Cidadão";"RENOVAÇÕES";16
"RN";"Cidadão";"TRANSFERENCIAS";11
"RN";"Empresa de Segurança Privada";"REGISTROS NOVOS";20
"RN";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";24
"RN";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";8
"RN";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"RN";"Órgão público sem taxa";"REGISTROS NOVOS";35
"RN";"Órgão público sem taxa";"TRANSFERENCIAS";1
"RO";"Caçador de Subsistência";"REGISTROS NOVOS";2
"RO";"Cidadão";"REGISTROS NOVOS";211
"RO";"Cidadão";"RENOVAÇÕES";18
"RO";"Cidadão";"TRANSFERENCIAS";14
"RO";"Empresa de Segurança Privada";"REGISTROS NOVOS";3
